Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Mean,Flow IAT Mean,Flow IAT Std,SYN Flag Count,ACK Flag Count
629138,3,5,12.71581116,18490.3789,8.666666667,2321.4,1292.555556,89876.85714,237243.8831,0,0
107241,3,6,83.92312642,108419.3545,8.666666667,1933.5,1162.7,13405.125,33983.58162,0,0
3321547,5,0,1.50532267,9.031936023,6.0,0.0,6.0,830386.75,1658773.435,0,1
4036968,5,0,1.23855329,7.431319743,6.0,0.0,6.0,1009242.0,2017118.057,0,1
1595089,5,0,3.134621328,18.80772797,6.0,0.0,6.0,398772.25,796208.6397,0,1
875495,3,6,10.2798988,13287.3403,8.666666667,1934.5,1163.3,109436.875,308300.3842,0,0
90813903,8,5,0.143149888,128.361403,7.0,2320.2,833.0714286,7567825.25,25600000.0,0,1
217007,3,4,32.25702397,53606.56569,8.666666667,2901.75,1454.125,36167.83333,88037.8185,0,0
3077438,4,0,1.299782481,7.798694888,6.0,0.0,6.0,1025812.667,1776087.626,0,1
654665,3,6,13.74748917,17769.39351,8.666666667,1934.5,1163.3,81833.125,230960.5791,0,0
11465000,5,0,0.4361099,2.616659398,6.0,0.0,6.0,2866250.0,5729162.925,0,1
75770853,8,4,0.158372244,153.8454371,7.0,2900.25,897.1538462,6888259.364,22500000.0,0,1
91774688,8,4,0.130755007,127.0829709,7.0,2901.75,897.6153846,8343153.455,24000000.0,0,1
20883,3,5,383.0867213,557055.9785,8.666666667,2321.4,1292.555556,2983.285714,7587.389883,0,0
1834145,3,5,4.361705318,6339.193466,8.666666667,2320.2,1291.888889,262020.7143,690618.4174,0,0
